StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ck_ice,ck_weather,ck_rock,ck_fish,nock_ice,nock_rock,nock_weather,nock_fish,attn,issues_yn,issues_exp,code
11/25/17 8:57,11/25/17 9:01,0,69.127.159.173,100,256,1,11/25/17 9:01,R_12PzUlOL9fEcqNy,,,,,41.07400513,-73.52079773,anonymous,EN,,2,,6,3,1,,,0,2,,23424DSf
12/3/17 20:02,12/3/17 20:04,0,72.220.195.220,100,110,1,12/3/17 20:04,R_1cYWtOyuQkxcwKB,,,,,32.76629639,-117.129303,anonymous,EN,,1,,1,1,1,,,,2,,49so325
12/3/17 20:19,12/3/17 20:20,0,69.14.241.18,100,44,1,12/3/17 20:20,R_3DuORChxTVUo5AA,,,,,40.0532074,-83.02200317,anonymous,EN,1,2,,,,1,,2,,2,,874etf*jhg
12/3/17 20:02,12/3/17 20:03,0,172.11.220.144,100,80,1,12/3/17 20:03,R_xyc2j3btpzHz31v,,,,,39.59750366,-84.15599823,anonymous,EN,1,,1,,,,1,1,,2,,fgdwerf
12/3/17 20:20,12/3/17 20:21,0,73.210.6.183,100,68,1,12/3/17 20:21,R_1q9cGaPS21xcRFe,,,,,42.01820374,-88.21730042,anonymous,EN,2,2,,,,1,,2,,2,,j3o2b1l
12/3/17 20:02,12/3/17 20:05,0,45.18.231.246,100,218,1,12/3/17 20:05,R_3MhQuTS3gSteeLK,,,,,38.66670227,-121.629303,anonymous,EN,,1,1,,1,,,1,,2,,Lloyd93
11/22/17 15:48,11/22/17 15:49,0,67.83.136.198,100,40,1,11/22/17 15:49,R_2CNf4leA7RtXmLH,,,,,40.21820068,-74.07099915,anonymous,EN,,,2,3,1,,1,,,2,,
11/22/17 15:49,11/22/17 15:50,0,67.83.136.198,100,41,1,11/22/17 15:50,R_0MSKznUVOhb10MF,,,,,40.21820068,-74.07099915,anonymous,EN,3,,2,,,,1,2,,2,,
11/22/17 15:50,11/22/17 15:52,0,67.83.136.198,100,150,1,11/22/17 15:52,R_1dgAOVTHzV1g7p2,,,,,40.21820068,-74.07099915,anonymous,EN,,2,2,,1,,,1,,2,,
11/22/17 15:21,11/22/17 16:12,0,67.83.136.198,15,3031,0,11/29/17 16:12,R_3Oi7UsPRUQvIvyE,,,,,,,anonymous,EN,,,,,,,,,,,,
