StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ck_ice,ck_weather,ck_rock,ck_fish,nock_ice,nock_rock,nock_weather,nock_fish,attn,gender,gender_3_TEXT,race,race_12_TEXT,age,issues_yn,issues_exp,code
12/7/17 21:50,12/7/17 21:52,0,24.159.120.204,100,135,1,12/7/17 21:52,R_1jwu7vUTgdCaQcv,,,,,33.95620728,-83.98799896,anonymous,EN,,,2,2,1,,1,,,2,,3,,3,2,,2368412
12/7/17 21:50,12/7/17 21:52,0,74.139.172.19,100,132,1,12/7/17 21:52,R_1IRHgMNTACbj2Jq,,,,,38.14419556,-85.69319916,anonymous,EN,,1,2,,2,,,2,,2,,1,,2,2,,rose283
12/7/17 21:49,12/7/17 21:52,0,103.66.79.115,100,176,1,12/7/17 21:52,R_2OGuaETaCOej7Kg,,,,,12.83329773,79.71670532,anonymous,EN,4,,5,,,,5,4,,1,,2,,2,2,,Mt1234
12/7/17 21:51,12/7/17 21:53,0,76.127.229.132,100,138,1,12/7/17 21:53,R_TdOTuQRlaLBR6et,,,,,42.12350464,-72.63990021,anonymous,EN,,3,,1,1,1,,,,1,,1,,3,2,,dafield
12/7/17 21:51,12/7/17 21:53,0,76.20.60.75,100,156,1,12/7/17 21:53,R_ODcKtmsx6htUHfz,,,,,38.4828949,-121.639801,anonymous,EN,1,,1,,,,1,1,,1,,9,,1,2,,3093789
12/7/17 21:51,12/7/17 21:53,0,175.158.226.38,100,110,1,12/7/17 21:53,R_1kNyt0oepRpdMjh,,,,,10.31109619,123.8916931,anonymous,EN,,,1,2,1,,1,,0,1,,1,,3,2,,450303
12/7/17 21:49,12/7/17 21:54,0,97.86.59.105,100,243,1,12/7/17 21:54,R_2zUWraTQxdeBTYZ,,,,,32.30380249,-86.08329773,anonymous,EN,,,1,1,1,,1,,,2,,1,,2,2,,5573507
12/7/17 21:50,12/7/17 21:54,0,216.234.214.26,100,207,1,12/7/17 21:54,R_2WPjfnkw1LeBXE3,,,,,34.42640686,-117.3009033,anonymous,EN,,1,3,,2,,,3,,2,,1,,3,2,,101996
12/7/17 21:50,12/7/17 21:54,0,157.50.9.88,100,214,1,12/7/17 21:54,R_cMdpXfNVy06IzQZ,,,,,13.08329773,80.28329468,anonymous,EN,3,5,,,,4,,6,,2,,7,,2,2,,A14@bdg
12/7/17 21:51,12/7/17 21:54,0,50.38.55.125,100,186,1,12/7/17 21:54,R_2P6vt6ZYbhMla8q,,,,,45.40490723,-122.7980042,anonymous,EN,4,1,,,,3,,2,,2,,7,,2,2,,cupcakes
12/7/17 21:50,12/7/17 21:54,0,107.4.110.96,100,225,1,12/7/17 21:54,R_2wGG7jRxmn80beA,,,,,42.14819336,-83.81479645,anonymous,EN,,1,1,,1,,,1,,2,,1,,6,2,,7349453
12/7/17 21:51,12/7/17 21:54,0,23.124.67.210,100,169,1,12/7/17 21:54,R_10Ips6jroNe1Zh1,,,,,34.90539551,-87.50679779,anonymous,EN,1,,,2,,1,1,,,2,,1,,3,2,,6079607
12/7/17 21:50,12/7/17 21:54,0,172.73.217.203,100,239,1,12/7/17 21:54,R_eh85ZPKnPG50N1f,,,,,35.32350159,-81.02149963,anonymous,EN,1,3,,,,4,,5,0,1,,1,,2,2,,4227084
12/7/17 21:50,12/7/17 21:54,0,76.229.99.70,100,293,1,12/7/17 21:54,R_1DTNRxDcjhr8ZZD,,,,,33.97749329,-118.2133026,anonymous,EN,1,,,1,,1,1,,,2,,10,,2,2,,G87C8DC
12/7/17 21:50,12/7/17 21:55,0,45.48.80.244,100,304,1,12/7/17 21:55,R_ZLb9K4O0eogIcW5,,,,,34.19050598,-119.2299957,anonymous,EN,1,,,1,,1,1,,,2,,1,,5,2,,ytd45bn
12/7/17 21:51,12/7/17 21:55,0,108.89.206.74,100,241,1,12/7/17 21:55,R_2SqofLCI7vB2jZO,,,,,32.56939697,-117.0158005,anonymous,EN,,,1,1,1,,1,,,1,,"1,5",,2,2,,9d2hrr2
12/7/17 21:50,12/7/17 21:55,0,99.169.90.0,100,276,1,12/7/17 21:55,R_3fYIdnyVu9kD2Li,,,,,28.01699829,-80.67359924,anonymous,EN,3,3,,,,3,,4,,2,,3,,5,2,,sb78156
12/7/17 21:52,12/7/17 21:55,0,70.66.189.65,100,200,1,12/7/17 21:55,R_vJiVC8kzEngreut,,,,,48.44960022,-123.4192963,anonymous,EN,2,,,3,,1,1,,,1,,1,,2,2,,3384574
12/7/17 21:50,12/7/17 21:55,0,68.201.168.95,100,331,1,12/7/17 21:55,R_9oEM2V3tzqGVOUN,,,,,26.17880249,-98.35949707,anonymous,EN,,,5,3,3,,4,,,1,,"1,5",,3,2,,A3G8OON
12/7/17 21:52,12/7/17 21:55,0,65.129.158.158,100,209,1,12/7/17 21:55,R_BsNH8p8n6IT8mhX,,,,,32.22169495,-110.9264984,anonymous,EN,,1,,4,1,1,,,,1,,1,,4,2,,9806gh#
12/7/17 21:53,12/7/17 21:55,0,73.188.22.157,100,170,1,12/7/17 21:55,R_AH85lM089iNMY7L,,,,,40.1473999,-74.83670044,anonymous,EN,,1,1,,1,,,1,,1,,1,,2,2,,256gh89
12/7/17 21:50,12/7/17 21:56,0,24.31.217.196,100,351,1,12/7/17 21:56,R_sF0SjWGYsGLgQKZ,,,,,33.09750366,-80.1753006,anonymous,EN,1,,1,,,,1,4,,1,,1,,5,2,,yYy+1nn
12/7/17 21:50,12/7/17 21:56,0,148.59.236.17,100,352,1,12/7/17 21:56,R_2V2VTenMWyztUXl,,,,,29.11909485,-98.1733017,anonymous,EN,1,3,,,,1,,2,,1,,5,,3,2,,science
12/7/17 21:50,12/7/17 21:56,0,47.210.8.68,100,336,1,12/7/17 21:56,R_UyaZWVFZR03MByx,,,,,32.56950378,-93.69229889,anonymous,EN,,,1,2,1,,1,,,2,,1,,4,2,,4221959
12/7/17 21:50,12/7/17 21:56,0,173.239.225.19,100,366,1,12/7/17 21:56,R_3kpjXUGrADgYdlo,,,,,40.55160522,-74.46369934,anonymous,EN,2,,2,,,,2,3,,1,,10,,2,2,,B07648Z
12/7/17 21:52,12/7/17 21:56,0,68.52.187.218,100,266,1,12/7/17 21:56,R_UzlHH0O9RsS5Pl7,,,,,35.79820251,-86.43560028,anonymous,EN,,,1,1,1,,1,,,1,,1,,2,2,,g12R3EG
12/7/17 21:53,12/7/17 21:56,0,76.28.159.63,100,161,1,12/7/17 21:56,R_3n91tMimEfabJpG,,,,,47.67379761,-122.3419037,anonymous,EN,,1,,2,1,1,,,,2,,"1,7,11",,2,2,,5657218
